id,course,forum,name,firstpost,userid,groupid,assessed,timemodified,usermodified,timestart,timeend,pinned
1,1,1,Deployment,1,2,-1,0,1548444475,2,1548435720,1548781320,1
3,1,1,2019 Potential Fellows,3,2,-1,0,1549622897,2,0,0,0
4,1,1,New Pattern Match!,4,3,-1,0,1549649825,3,0,0,0
6,1,1,Update your profile!,6,2,-1,0,1550855679,2,0,0,0
7,10,13,Describe your desk,7,246,-1,0,1552049131,246,0,0,0
8,10,13,Describe a participant,8,246,-1,0,1552298432,246,0,0,0
9,10,13,Planning ahead during the course,9,246,-1,0,1552307921,246,0,0,0
10,10,14,Using ICT for developing competences,10,246,-1,0,1552657703,246,0,0,0
26,11,24,How to make changes to your 10 Academy Fellowship Application,130,917,-1,0,1562676430,917,0,0,1
18,47,26,Data science and its application,112,789,-1,0,1558221605,879,0,0,0
14,47,26,Question,50,340,-1,0,1553861197,246,0,0,0
5,47,26,What do you know about data science?,5,2,-1,0,1563785165,930,0,0,1
24,50,33,Welcome to the course,127,3,-1,0,1564618472,266,0,0,0
11,47,26,Question ,28,331,-1,0,1553934119,344,0,0,0
17,47,26,New here,111,794,-1,0,1558685401,581,0,0,0
20,48,30,Course is now open.,121,2,-1,0,1558883209,2,0,0,0
21,48,30,Manual Grading for Understanding Business Value Section is open till 20 June,122,2,-1,0,1558884219,2,0,0,1
12,47,26,How can Data Science Impact the African Region?,44,250,-1,0,1557247831,290,0,0,0
22,47,26,DataScience,123,586,-1,0,1558897814,77,0,0,0
13,47,26,How do you differentiate a data analyst  and data engineer from a data scientist,45,58,-1,0,1557249398,290,0,0,0
15,47,26,What do you understand by Data Science,88,632,-1,0,1557250185,290,0,0,0
19,47,26,impact of data science,120,409,-1,0,1562140039,924,0,0,0
25,50,32,Course Guide: How data can impact development,128,917,-1,0,1562335700,917,0,0,1
