id,action,oldid,source,timemodified,loggeduser,courseid,parent,depth,path,fullname,aggregation,keephigh,droplow,aggregateonlygraded,aggregateoutcomes,aggregatesubcats,hidden
1,1,1,system,1548444778,3,2,,0,,?,13,0,0,1,0,0,0
2,2,1,system,1548444778,3,2,,1,/1/,?,13,0,0,1,0,0,0
3,1,2,system,1548445903,3,3,,0,,?,13,0,0,1,0,0,0
4,2,2,system,1548445903,3,3,,1,/2/,?,13,0,0,1,0,0,0
5,3,2,coursedelete,1548446435,3,3,,1,/2/,?,13,0,0,1,0,0,0
6,1,3,system,1548455534,3,4,,0,,?,13,0,0,1,0,0,0
7,2,3,system,1548455534,3,4,,1,/3/,?,13,0,0,1,0,0,0
8,1,4,system,1548456946,3,5,,0,,?,13,0,0,1,0,0,0
9,2,4,system,1548456946,3,5,,1,/4/,?,13,0,0,1,0,0,0
10,1,5,system,1548694011,2,6,,0,,?,13,0,0,1,0,0,0
11,2,5,system,1548694011,2,6,,1,/5/,?,13,0,0,1,0,0,0
12,1,6,system,1548694182,2,7,,0,,?,13,0,0,1,0,0,0
13,2,6,system,1548694182,2,7,,1,/6/,?,13,0,0,1,0,0,0
14,1,7,system,1548694253,2,8,,0,,?,13,0,0,1,0,0,0
15,2,7,system,1548694253,2,8,,1,/7/,?,13,0,0,1,0,0,0
16,1,8,system,1548694302,2,9,,0,,?,13,0,0,1,0,0,0
17,2,8,system,1548694302,2,9,,1,/8/,?,13,0,0,1,0,0,0
18,1,10,system,1548694356,2,10,,0,,?,13,0,0,1,0,0,0
19,2,10,system,1548694356,2,10,,1,/10/,?,13,0,0,1,0,0,0
20,1,11,system,1548863444,3,1,,0,,?,13,0,0,1,0,0,0
21,2,11,system,1548863444,3,1,,1,/11/,?,13,0,0,1,0,0,0
22,1,12,system,1549464618,3,12,,0,,?,13,0,0,1,0,0,0
23,2,12,system,1549464618,3,12,,1,/12/,?,13,0,0,1,0,0,0
24,3,1,coursedelete,1549536300,3,2,,1,/1/,?,13,0,0,1,0,0,0
25,3,4,coursedelete,1549536553,3,5,,1,/4/,?,13,0,0,1,0,0,0
26,3,3,coursedelete,1549536560,3,4,,1,/3/,?,13,0,0,1,0,0,0
58,1,45,system,1549643386,3,45,,0,,?,13,0,0,1,0,0,0
59,2,45,system,1549643386,3,45,,1,/45/,?,13,0,0,1,0,0,0
60,1,46,system,1550050571,3,46,,0,,?,13,0,0,1,0,0,0
61,2,46,system,1550050571,3,46,,1,/46/,?,13,0,0,1,0,0,0
62,1,47,system,1550222626,3,11,,0,,?,13,0,0,1,0,0,0
63,2,47,system,1550222626,3,11,,1,/47/,?,13,0,0,1,0,0,0
64,1,48,system,1550248279,2,47,,0,,?,13,0,0,1,0,0,0
65,2,48,system,1550248279,2,47,,1,/48/,?,13,0,0,1,0,0,0
66,2,48,,1553183425,2,47,,1,/48/,?,13,0,0,1,0,0,0
67,2,48,,1553183456,2,47,,1,/48/,?,13,0,0,1,0,0,0
68,1,49,system,1557764186,2,48,,0,,?,13,0,0,1,0,0,0
69,2,49,system,1557764186,2,48,,1,/49/,?,13,0,0,1,0,0,0
70,2,49,,1558345309,2,48,,1,/49/,?,13,0,0,1,0,0,0
71,1,50,system,1562233074,3,50,,0,,?,13,0,0,1,0,0,0
72,2,50,system,1562233074,3,50,,1,/50/,?,13,0,0,1,0,0,0
73,2,50,,1562248453,3,50,,1,/50/,?,13,0,0,1,0,0,0
74,1,51,system,1562754336,917,49,,0,,?,13,0,0,1,0,0,0
75,2,51,system,1562754336,917,49,,1,/51/,?,13,0,0,1,0,0,0
76,1,52,system,1562839575,917,51,,0,,?,13,0,0,1,0,0,0
77,2,52,system,1562839575,917,51,,1,/52/,?,13,0,0,1,0,0,0
